Data;Número;Histórico;Débito;Crédito
22/03/2019;917;COMPRA DE MERCADORIA CONF. NF.  193735 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;3.819,40
31/05/2019;917;COMPRA DE MERCADORIA CONF. NF.  203478 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;1.306,80
21/06/2019;917;COMPRA DE MERCADORIA CONF. NF.  205987 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;2.421,53
12/07/2019;917;COMPRA DE MERCADORIA CONF. NF.  208686 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;1.308,00
26/07/2019;917;COMPRA DE MERCADORIA CONF. NF.  210707 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;2.379,60
09/08/2019;917;COMPRA DE MERCADORIA CONF. NF.  212298 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;3.525,80
31/08/2019;917;COMPRA DE MERCADORIA CONF. NF.  216075 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;2.520,00
28/09/2019;917;COMPRA DE MERCADORIA CONF. NF.  220076 FOR. TMC DIST. E ATAC. ALIM.  LTDA ;;2.534,80
17/10/2018;918;COMPRA DE MERCADORIA CONF. NF.  62135 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;2.324,30
17/10/2018;918;COMPRA DE MERCADORIA CONF. NF.  62135 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;294,30
18/10/2018;918;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 62134 FOR.  TECIDOS E ARMARINHOS MIGUEL  BARTOLOMEU S ;;798,93
08/12/2018;918;COMPRA DE MERCADORIA CONF. NF.  65749 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;4.017,23
08/12/2018;918;COMPRA DE MERCADORIA CONF. NF.  65749 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;274,04
13/12/2018;918;COMPRA DE MERCADORIA CONF. NF.  66164 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;443,47
01/01/2019;918;COMPRA DE MERCADORIA CONF. NF.  57639 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;71,99
07/02/2019;918;COMPRA DE MERCADORIA CONF. NF.  69932 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;2.786,64
07/02/2019;918;COMPRA DE MERCADORIA CONF. NF.  69932 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;360,19
09/02/2019;918;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 70133 FOR.  TECIDOS E ARMARINHOS MIGUEL  BARTOLOMEU S ;;842,82
22/02/2019;918;COMPRA DE MERCADORIA CONF. NF.  70973 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;161,51
30/04/2019;918;COMPRA DE MERCADORIA CONF. NF.  76606 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU SA ;;1.636,54
30/04/2019;918;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 76607 FOR.  TECIDOS E ARMARINHOS MIGUEL  BARTOLOMEU SA ;;596,66
06/06/2019;918;COMPRA DE MERCADORIA CONF. NF.  79361 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU SA ;;354,88
06/06/2019;918;COMPRA DE MERCADORIA CONF. NF.  79361 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU SA ;;1.936,12
07/06/2019;918;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 79362 FOR.  TECIDOS E ARMARINHOS MIGUEL  BARTOLOMEU SA ;;504,24
18/08/2019;918;COMPRA DE MERCADORIA CONF. NF.  85028 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU SA ;;2.644,31
18/08/2019;918;COMPRA DE MERCADORIA CONF. NF.  85028 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU SA ;;1.011,19
03/09/2019;918;COMPRA DE MERCADORIA CONF. NF.  85721 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU SA ;;81,89
26/10/2018;919;COMPRA DE MERCADORIA CONF. NF.  233483 FOR. TAMBAU INDUSTRIA  ALIMENTICIA LTDA ;;633,17
06/12/2018;919;COMPRA DE MERCADORIA CONF. NF.  235810 FOR. TAMBAU INDUSTRIA  ALIMENTICIA LTDA ;;4.525,83
02/01/2019;919;COMPRA DE MERCADORIA CONF. NF.  237735 FOR. TAMBAU INDUSTRIA  ALIMENTICIA LTDA ;;2.114,03
24/01/2019;919;COMPRA DE MERCADORIA CONF. NF.  238951 FOR. TAMBAU INDUSTRIA  ALIMENTICIA LTDA ;;1.414,70
14/03/2019;919;COMPRA DE MERCADORIA CONF. NF.  241729 FOR. TAMBAU INDUSTRIA  ALIMENTICIA LTDA ;;2.512,00
01/04/2019;919;COMPRA DE MERCADORIA CONF. NF.  243348 FOR. TAMBAU INDUSTRIA  ALIMENTICIA LTDA ;;3.500,20
27/04/2019;919;COMPRA DE MERCADORIA CONF. NF.  245110 FOR. TAMBAU INDUSTRIA  ALIMENTICIA LTDA ;;1.220,29
13/05/2019;919;COMPRA DE MERCADORIA CONF. NF.  246360 FOR. TAMBAU INDUSTRIA  ALIMENTICIA LTDA ;;2.796,88
29/06/2019;919;COMPRA DE MERCADORIA CONF. NF.  249172 FOR. TAMBAU INDUSTRIA  ALIMENTICIA LTDA ;;766,42
25/07/2019;919;COMPRA DE MERCADORIA CONF. NF.  250916 FOR. TAMBAU INDUSTRIA  ALIMENTICIA LTDA ;;3.670,61
21/08/2019;919;COMPRA DE MERCADORIA CONF. NF.  252808 FOR. TAMBAU INDUSTRIA  ALIMENTICIA LTDA ;;1.543,89
26/09/2019;919;COMPRA DE MERCADORIA CONF. NF.  255027 FOR. TAMBAU INDUSTRIA  ALIMENTICIA LTDA ;;1.441,98
09/10/2018;920;COMPRA DE MERCADORIA CONF. NF.  110752 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;2.988,77
