Data;Histórico;Débito;Crédito;Histórico separado
11/06/2019;COMPRA DE MERCADORIA CONF. NF.  53958 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;7650.0;53958
11/06/2019;COMPRA DE MERCADORIA CONF. NF.  53959 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;380.0;53959
18/06/2019;COMPRA DE MERCADORIA CONF. NF.  54007 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;4065.0;54007
27/06/2019;COMPRA DE MERCADORIA CONF. NF.  54090 FOR. PLANALTO DO SOL COMER. E  REP. DE HORTIFR ;;7450.0;54090
31/01/2019;COMPRA DE MERCADORIA CONF. NF.  7028 FOR. MARINAR PRODUTOS  ALIMENTICIOS LTDA ;;2364.9;7028
31/01/2019;COMPRA DE MERCADORIA CONF. NF.  7032 FOR. MARINAR PRODUTOS  ALIMENTICIOS LTDA ;;318.4;7032
04/04/2019;COMPRA DE MERCADORIA CONF. NF.  8062 FOR. MARINAR PRODUTOS  ALIMENTICIOS LTDA ;;1730.2;8062
27/04/2019;COMPRA DE MERCADORIA CONF. NF.  8393 FOR. MARINAR PRODUTOS  ALIMENTICIOS LTDA ;;211.5;8393
04/06/2019;COMPRA DE MERCADORIA CONF. NF.  9177 FOR. MARINAR PRODUTOS  ALIMENTICIOS LTDA ;;1227.2;9177
16/01/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 109 FOR.  SALESANDRE FERREIRA DA SILVA ;;1127.6;109
12/02/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 110 FOR.  SALESANDRE FERREIRA DA SILVA ;;808.63;110
19/03/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 115 FOR.  SALESANDRE FERREIRA DA SILVA ;;783.85;115
08/05/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 123 FOR.  SALESANDRE FERREIRA DA SILVA ;;762.81;123
18/06/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 129 FOR.  SALESANDRE FERREIRA DA SILVA ;;494.2;129
26/04/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 591 FOR. PEDRO  ROBERTO DE LIMA ;;532.8;591
19/03/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 5631 FOR.  GONZAGA REVENDA DE VEIC.  PECAS E  SERV. ;;329.0;5631
04/04/2019;COMPRA DE MERCADORIA CONF. NF.  55489 FOR. CAPANEMA DISTRIBUIDORA  DE ALIMENTOS LTDA ;;25000.0;55489
25/06/2019;COMPRA DE MERCADORIA CONF. NF.  16940 FOR. CAPANEMA DISTRIBUIDORA  DE ALIMENTOS LTDA ;;2376.0;16940
16/01/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 4541 FOR. MARIA  DO SOCORRO DE SOUSA FERRAGENS-ME ;;227.0;4541
26/02/2019;COMPRA DE MERCADORIA CONF. NF.  1204516 FOR. INDS  REUNIDAS  RAYMUNDO DA FONTE S/A ;;11029.18;1204516
26/02/2019;COMPRA DE MERCADORIA CONF. NF.  1204516 FOR. INDS  REUNIDAS  RAYMUNDO DA FONTE S/A ;;1549.46;1204516
26/03/2019;COMPRA DE MERCADORIA CONF. NF.  1208774 FOR. INDS  REUNIDAS  RAYMUNDO DA FONTE S/A ;;8009.24;1208774
13/04/2019;COMPRA DE MERCADORIA CONF. NF.  1213134 FOR. INDS  REUNIDAS  RAYMUNDO DA FONTE S/A ;;3001.94;1213134
13/05/2019;COMPRA DE MERCADORIA CONF. NF.  1217960 FOR. INDS  REUNIDAS  RAYMUNDO DA FONTE S/A ;;6900.5;1217960
13/05/2019;COMPRA DE MERCADORIA CONF. NF.  1217961 FOR. INDS  REUNIDAS  RAYMUNDO DA FONTE S/A ;;4968.94;1217961
21/05/2019;COMPRA DE MERCADORIA CONF. NF.  1220916 FOR. INDS  REUNIDAS  RAYMUNDO DA FONTE S/A ;;6618.73;1220916
21/05/2019;COMPRA DE MERCADORIA CONF. NF.  1221124 FOR. INDS  REUNIDAS  RAYMUNDO DA FONTE S/A ;;8656.67;1221124
10/06/2019;COMPRA DE MERCADORIA CONF. NF.  1225450 FOR. INDS  REUNIDAS  RAYMUNDO DA FONTE S/A ;;2029.14;1225450
22/01/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 10639 FOR. AUTO  EQUIPADORA SOUSA LTDA ;;251.1;10639
28/02/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 10855 FOR. AUTO  EQUIPADORA SOUSA LTDA ;;222.21;10855
22/03/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 10963 FOR. AUTO  EQUIPADORA SOUSA LTDA ;;1202.23;10963
31/03/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 11042 FOR. AUTO  EQUIPADORA SOUSA LTDA ;;4531.77;11042
31/03/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 11084 FOR. AUTO  EQUIPADORA SOUSA LTDA ;;668.02;11084
09/04/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 11131 FOR. AUTO  EQUIPADORA SOUSA LTDA ;;423.28;11131
16/04/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 11168 FOR. AUTO  EQUIPADORA SOUSA LTDA ;;499.89;11168
03/05/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 11249 FOR. AUTO  EQUIPADORA SOUSA LTDA ;;912.52;11249
23/05/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 11368 FOR. AUTO  EQUIPADORA SOUSA LTDA ;;1023.95;11368
31/05/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 11411 FOR. AUTO  EQUIPADORA SOUSA LTDA ;;904.5;11411
27/06/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 11551 FOR. AUTO  EQUIPADORA SOUSA LTDA ;;1958.66;11551
03/01/2019;COMPRA DE MERCADORIA CONF. NF.  8832 FOR. SERTAO PLAST IND E COM DE  PLASTICOS LTDA ;;956.65;8832
28/02/2019;COMPRA DE MERCADORIA CONF. NF.  9066 FOR. SERTAO PLAST IND E COM DE  PLASTICOS LTDA ;;649.45;9066
11/04/2019;COMPRA DE MERCADORIA CONF. NF.  9281 FOR. SERTAO PLAST IND E COM DE  PLASTICOS LTDA ;;1415.67;9281
23/05/2019;COMPRA DE MERCADORIA CONF. NF.  9502 FOR. SERTAO PLAST IND E COM DE  PLASTICOS LTDA ;;1557.79;9502
23/03/2019;COMPRA DE MERCADORIA CONF. NF.  2880 FOR. LD LUBRIFICANTES LTDA ;;2738.0;2880
23/03/2019;COMPRA DE MERCADORIA CONF. NF.  2882 FOR. LD LUBRIFICANTES LTDA ;;300.0;2882
10/04/2019;COMPRA DE MERCADORIA CONF. NF.  2893 FOR. LD LUBRIFICANTES LTDA ;;1525.0;2893
06/05/2019;COMPRA DE MERCADORIA CONF. NF.  2924 FOR. LD LUBRIFICANTES LTDA ;;1974.0;2924
27/05/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 2945 FOR. LD  LUBRIFICANTES LTDA ;;1096.0;2945
15/06/2019;COMPRA DE MERCADORIA CONF. NF.  2954 FOR. LD LUBRIFICANTES LTDA ;;1558.0;2954
15/06/2019;COMPRA DE MERCADORIA CONF. NF.  2954 FOR. LD LUBRIFICANTES LTDA ;;3334.0;2954
29/06/2019;COMPRA DE COMBUSTÍVEL CONF. NF.  2967 FOR. LD LUBRIFICANTES LTDA ;;1320.0;2967
28/02/2019;COMPRA DE MERCADORIA CONF. NF.  10515 FOR. JOAO ATENCIO DE SOUZA ;;255.0;10515
01/03/2019;COMPRA DE MERCADORIA CONF. NF.  10515 FOR. JOAO ATENCIO DE SOUZA ;;255.0;10515
05/06/2019;COMPRA DE MERCADORIA CONF. NF.  36362 FOR. JOAO ATENCIO DE SOUZA ;;170.0;36362
07/01/2019;COMPRA DE MERCADORIA CONF. NF.  3856 FOR. EDSON FERREIRA DE ARAUJO ;;1150.0;3856
24/01/2019;COMPRA DE MERCADORIA CONF. NF.  3902 FOR. EDSON FERREIRA DE ARAUJO ;;900.0;3902
13/02/2019;COMPRA DE MERCADORIA CONF. NF.  3941 FOR. EDSON FERREIRA DE ARAUJO ;;900.0;3941
11/03/2019;COMPRA DE MERCADORIA CONF. NF.  3974 FOR. EDSON FERREIRA DE ARAUJO ;;1215.0;3974
30/03/2019;COMPRA DE MERCADORIA CONF. NF.  4022 FOR. EDSON FERREIRA DE ARAUJO ;;540.0;4022
05/04/2019;COMPRA DE MERCADORIA CONF. NF.  4032 FOR. EDSON FERREIRA DE ARAUJO ;;675.0;4032
26/04/2019;COMPRA DE MERCADORIA CONF. NF.  4073 FOR. EDSON FERREIRA DE ARAUJO ;;860.0;4073
13/05/2019;COMPRA DE MERCADORIA CONF. NF.  4104 FOR. EDSON FERREIRA DE ARAUJO ;;1000.0;4104
12/06/2019;COMPRA DE MERCADORIA CONF. NF.  4163 FOR. EDSON FERREIRA DE ARAUJO ;;1225.0;4163
31/03/2019;COMPRA DE MERCADORIA CONF. NF.  238354 FOR. ANTONIO AUGUSTO  MONTEIRO BARACHO;;4568.76;238354
17/06/2019;COMPRA DE MERCADORIA CONF. NF.  238691 FOR. ANTONIO AUGUSTO  MONTEIRO BARACHO ;;5781.03;238691
31/01/2019;COMPRA DE MERCADORIA CONF. NF.  14738 FOR. NADJANNE MONTEIRO DE  SENA - EPP ;;1659.4;14738
04/04/2019;COMPRA DE MERCADORIA CONF. NF.  15152 FOR. NADJANNE MONTEIRO DE  SENA - EPP ;;1322.6;15152
31/05/2019;COMPRA DE MERCADORIA CONF. NF.  15575 FOR. NADJANNE MONTEIRO DE  SENA - EPP ;;1450.9;15575
11/01/2019;COMPRA DE MERCADORIA CONF. NF.  68074 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;1761.67;68074
24/01/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 68738 FOR.  TECIDOS E ARMARINHOS MIGUEL  BARTOLOMEU S ;;1012.85;68738
30/01/2019;COMPRA DE MERCADORIA CONF. NF.  69350 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;887.62;69350
30/01/2019;COMPRA DE MERCADORIA CONF. NF.  69350 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;192.99;69350
12/02/2019;COMPRA DE MERCADORIA CONF. NF.  70550 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;1586.31;70550
12/02/2019;COMPRA DE MERCADORIA CONF. NF.  70550 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;29.16;70550
28/02/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 72017 FOR.  TECIDOS E ARMARINHOS MIGUEL  BARTOLOMEU S ;;909.34;72017
29/03/2019;COMPRA DE MERCADORIA CONF. NF.  74132 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;2193.82;74132
29/03/2019;COMPRA DE MERCADORIA CONF. NF.  74132 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;300.37;74132
29/03/2019;COMPRA DE MERCADORIA CONF. NF.  74133 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;1357.58;74133
29/03/2019;COMPRA DE MERCADORIA CONF. NF.  74133 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;148.46;74133
11/04/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 74962 FOR.  TECIDOS E ARMARINHOS MIGUEL  BARTOLOMEU S ;;973.21;74962
04/05/2019;COMPRA DE MERCADORIA CONF. NF.  76758 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;944.52;76758
06/05/2019;COMPRA DE MERCADORIA CONF. NF.  76711 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;744.58;76711
06/05/2019;COMPRA DE MERCADORIA CONF. NF.  76711 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;107.15;76711
16/05/2019;COMPRA DE MERCADORIA CONF. NF.  77630 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;944.81;77630
29/06/2019;COMPRA DE MERCADORIA CONF. NF.  81136 FOR. TECIDOS E ARMARINHOS  MIGUEL BARTOLOMEU S ;;1284.45;81136
07/01/2019;COMPRA DE MERCADORIA CONF. NF.  9976 FOR. JOAO TIBURTINO DAS NEVES ;;875.75;9976
18/01/2019;COMPRA DE MERCADORIA CONF. NF.  10150 FOR. JOAO TIBURTINO DAS NEVES ;;857.5;10150
31/01/2019;COMPRA DE MERCADORIA CONF. NF.  10340 FOR. JOAO TIBURTINO DAS NEVES ;;951.0;10340
14/02/2019;COMPRA DE MERCADORIA CONF. NF.  10505 FOR. JOAO TIBURTINO DAS NEVES ;;2525.0;10505
28/02/2019;COMPRA DE MERCADORIA CONF. NF.  10759 FOR. JOAO TIBURTINO DAS NEVES ;;1625.01;10759
29/03/2019;COMPRA DE MERCADORIA CONF. NF.  11093 FOR. JOAO TIBURTINO DAS NEVES ;;2146.25;11093
29/04/2019;COMPRA DE MERCADORIA CONF. NF.  11452 FOR. JOAO TIBURTINO DAS NEVES ;;2525.0;11452
31/05/2019;COMPRA DE MERCADORIA CONF. NF.  11955 FOR. JOAO TIBURTINO DAS NEVES ;;2146.25;11955
20/06/2019;COMPRA DE MERCADORIA CONF. NF.  12199 FOR. JOAO TIBURTINO DAS NEVES ;;2449.25;12199
03/01/2019;COMPRA DE MERCADORIA CONF. NF.  54656 FOR. PERBONI  PERBONI LTDA ;;6690.0;54656
03/01/2019;COMPRA DE MERCADORIA CONF. NF.  54657 FOR. PERBONI  PERBONI LTDA ;;200.0;54657
09/01/2019;COMPRA DE MERCADORIA CONF. NF.  54755 FOR. PERBONI  PERBONI LTDA ;;11480.0;54755
09/01/2019;COMPRA DE MERCADORIA CONF. NF.  54760 FOR. PERBONI  PERBONI LTDA ;;744.0;54760
09/01/2019;COMPRA DE MERCADORIA CONF. NF.  54763 FOR. PERBONI  PERBONI LTDA ;;866.0;54763
15/01/2019;COMPRA DE MERCADORIA CONF. NF.  54900 FOR. PERBONI  PERBONI LTDA ;;10519.7;54900
22/01/2019;COMPRA DE MERCADORIA CONF. NF.  55059 FOR. PERBONI  PERBONI LTDA ;;4938.0;55059
